Age,Gender,City,AdType,Budget,DurationSec,Impressions,CTR,Clicks,ConversionRate,Conversions,Performance
31,Male,Bangalore,Carousel,48619,37,1060380,1.63,17284,4.46,770,High
34,Male,Mumbai,Shorts,57004,7,2131753,1.04,22170,2.4,532,High
53,Male,Kolkata,Image,42031,18,1157305,7.57,87607,1.06,928,High
57,Male,Mumbai,Video,63487,19,2387939,3.53,84294,0.56,472,High
21,Male,Delhi,Video,78660,37,2719714,1.64,44603,4.73,2109,High
19,Male,Chennai,Image,54953,46,1213565,7.48,90774,3.74,3394,High
23,Female,Kolkata,Image,45125,26,1652969,0.93,15372,1.63,250,High
59,Female,Kolkata,Shorts,56600,5,1904226,5.86,111587,1.55,1729,High
21,Male,Bangalore,Video,67659,35,1396900,5.04,70403,4.49,3161,High
46,Female,Chennai,Shorts,52394,51,1187996,0.79,9385,0.97,91,High
35,Female,Delhi,Image,57276,39,1873658,2.78,52087,2.72,1416,High
43,Male,Hyderabad,Video,60571,57,2014123,1.28,25780,3.6,928,High
51,Male,Mumbai,Image,36868,24,1287921,4.88,62850,2.04,1282,High
27,Female,Bangalore,Shorts,56886,36,1957185,3.87,75743,0.3,227,High
53,Male,Kolkata,Shorts,29870,59,991422,0.13,1288,1.22,15,High
31,Male,Hyderabad,Shorts,40123,58,1417354,7.81,110695,4.52,5003,High
48,Female,Delhi,Video,67184,16,2116440,2.86,60530,2.66,1610,High
32,Male,Chennai,Image,63065,55,1590249,2.14,34031,4.1,1395,High
25,Female,Mumbai,Image,45947,20,1757370,1.86,32687,2.82,921,High
31,Female,Bangalore,Shorts,75586,12,1539272,1.35,20780,4.72,980,High
40,Female,Kolkata,Shorts,30347,18,829425,7.99,66271,4.55,3015,High
57,Female,Kolkata,Shorts,46923,22,1622499,2.43,39426,2.47,973,High
38,Female,Hyderabad,Shorts,54126,59,1544941,3.3,50983,1.66,846,High
33,Male,Hyderabad,Carousel,7876,34,161437,6.98,11268,3.05,343,High
35,Male,Mumbai,Carousel,47635,37,1015561,5.17,52504,3.41,1790,High
41,Male,Chennai,Carousel,33132,38,1092470,3.01,32883,2.54,835,High
43,Male,Delhi,Shorts,33473,48,1315435,7.2,94711,4.13,3911,High
42,Female,Chennai,Shorts,45916,53,1425124,6.02,85792,1.0,857,High
58,Female,Chennai,Image,22615,38,681510,1.9,12948,1.74,225,High
46,Male,Chennai,Video,37880,53,998779,5.19,51836,3.46,1793,High
32,Female,Mumbai,Image,22965,57,577217,7.39,42656,1.31,558,High
18,Male,Mumbai,Carousel,51856,11,1058900,4.02,42567,2.26,962,High
42,Male,Delhi,Image,51565,10,1312803,5.9,77455,4.82,3733,High
24,Male,Chennai,Shorts,44771,10,1297585,7.77,100822,3.17,3196,High
26,Female,Mumbai,Carousel,64946,26,1556057,5.55,86361,4.75,4102,High
41,Female,Delhi,Carousel,45557,12,990738,0.91,9015,3.64,328,High
18,Female,Kolkata,Video,49653,41,1705834,2.03,34628,3.65,1263,High
25,Female,Delhi,Video,36409,19,1379662,4.8,66223,3.0,1986,High
41,Male,Chennai,Carousel,15450,30,598496,2.28,13645,0.8,109,High
28,Female,Bangalore,Carousel,47819,43,1547450,7.66,118534,2.65,3141,High
34,Female,Chennai,Image,45860,7,965621,3.3,31865,1.34,426,High
25,Female,Bangalore,Carousel,75648,14,2633877,3.71,97716,4.99,4876,High
52,Male,Delhi,Shorts,60011,7,1332373,5.64,75145,1.41,1059,High
52,Male,Kolkata,Image,43803,34,1462805,4.24,62022,1.23,762,High
50,Female,Kolkata,Shorts,52124,50,1854986,3.12,57875,3.16,1828,High
22,Female,Mumbai,Shorts,63605,26,2195481,0.71,15587,2.6,405,High
59,Female,Kolkata,Shorts,57751,7,2254477,4.81,108440,0.2,216,High
56,Female,Hyderabad,Carousel,75033,5,2608387,6.95,181282,0.73,1323,High
58,Male,Delhi,Video,38159,37,1292225,5.52,71330,4.07,2903,High
45,Female,Mumbai,Video,64625,23,1630815,3.11,50718,2.47,1252,High
24,Female,Kolkata,Shorts,43656,40,1680589,1.11,18654,0.82,152,High
26,Female,Delhi,Carousel,52904,38,1248057,6.55,81747,2.38,1945,High
25,Male,Chennai,Image,41634,35,1586201,7.54,119599,1.34,1602,High
29,Male,Kolkata,Shorts,47869,47,1256739,3.17,39838,1.2,478,High
51,Female,Bangalore,Image,53173,28,1201893,5.86,70430,4.79,3373,High
50,Female,Delhi,Image,58898,16,2151788,3.35,72084,1.87,1347,High
40,Female,Mumbai,Carousel,50920,17,1020948,4.07,41552,0.33,137,High
41,Female,Chennai,Carousel,12707,20,465634,6.71,31244,4.85,1515,High
54,Female,Hyderabad,Video,48845,20,1233171,0.76,9372,3.99,373,High
52,Male,Chennai,Video,72056,55,2716109,4.29,116521,1.35,1573,High
57,Male,Kolkata,Carousel,48726,59,1648411,1.8,29671,2.1,623,High
39,Male,Bangalore,Shorts,72477,56,2415206,2.78,67142,4.33,2907,High
44,Female,Chennai,Video,48197,57,1316087,5.19,68304,1.85,1263,High
52,Male,Hyderabad,Image,26420,24,559794,0.32,1791,2.88,51,High
18,Male,Mumbai,Shorts,43505,45,1592371,4.79,76274,2.72,2074,High
52,Male,Delhi,Image,41623,52,974742,2.34,22808,2.07,472,High
54,Female,Bangalore,Carousel,46557,31,1277765,5.39,68871,3.23,2224,High
31,Female,Hyderabad,Image,32220,43,1031275,1.22,12581,2.42,304,High
20,Male,Kolkata,Shorts,49867,17,1478331,5.91,87369,0.2,174,High
18,Female,Kolkata,Carousel,45076,8,1080618,5.2,56192,4.09,2298,High
22,Male,Kolkata,Shorts,69317,36,1581303,7.77,122867,0.65,798,High
43,Male,Bangalore,Image,31846,49,715427,7.3,52226,2.37,1237,High
31,Male,Chennai,Shorts,53685,44,2000312,2.34,46807,2.94,1376,High
56,Male,Bangalore,Carousel,56165,38,1158759,0.32,3708,3.56,132,High
44,Female,Kolkata,Image,61624,43,2436658,5.28,128655,2.11,2714,High
26,Female,Hyderabad,Image,44546,47,1067797,4.86,51894,3.7,1920,High
32,Female,Delhi,Video,53312,21,1183870,0.32,3788,0.74,28,High
32,Female,Delhi,Video,55299,28,1744104,1.07,18661,3.3,615,High
43,Male,Bangalore,Shorts,25274,33,545923,4.72,25767,4.15,1069,High
59,Female,Kolkata,Video,45084,50,1444915,7.3,105478,4.46,4704,High
30,Male,Mumbai,Video,49510,32,1832491,7.26,133038,2.94,3911,High
49,Female,Bangalore,Video,51268,49,1074486,1.3,13968,1.63,227,High
56,Female,Kolkata,Video,51085,51,1838928,3.14,57742,0.9,519,High
49,Female,Chennai,Carousel,56562,26,1577511,0.44,6941,1.79,124,High
21,Male,Delhi,Carousel,79064,32,1833481,3.81,69855,2.75,1921,High
47,Male,Delhi,Video,41068,57,966012,6.05,58443,1.06,619,High
54,Male,Delhi,Shorts,55717,29,2138178,6.34,135560,4.77,6466,High
40,Male,Mumbai,Carousel,69519,45,1544176,4.04,62384,4.5,2807,High
56,Female,Kolkata,Video,23020,7,859482,0.86,7391,0.26,19,High
32,Male,Kolkata,Carousel,54021,17,1668462,3.11,51889,2.85,1478,High
46,Male,Kolkata,Image,24794,35,515253,7.46,38437,3.97,1525,High
53,Female,Kolkata,Carousel,82783,17,2424694,1.91,46311,1.3,602,High
30,Female,Mumbai,Carousel,57830,45,2102089,2.63,55284,2.67,1476,High
49,Male,Hyderabad,Shorts,55806,22,1926661,6.0,115599,2.09,2416,High
24,Female,Bangalore,Carousel,21899,41,652068,5.9,38472,1.06,407,High
39,Male,Bangalore,Shorts,42432,47,1578535,7.31,115390,3.11,3588,High
45,Female,Kolkata,Image,42503,38,952378,3.17,30190,4.97,1500,High
19,Male,Chennai,Video,76496,21,2922088,4.17,121851,1.89,2302,High
59,Male,Delhi,Shorts,60938,59,2250369,3.79,85288,2.81,2396,High
23,Male,Mumbai,Carousel,25206,56,861179,7.43,63985,1.71,1094,High
45,Male,Chennai,Carousel,57042,25,2073938,6.18,128169,4.4,5639,High
45,Male,Chennai,Shorts,27456,40,847753,6.67,56545,4.34,2454,High
37,Female,Kolkata,Image,25560,58,856343,1.15,9847,0.98,96,High
47,Male,Mumbai,Video,56801,54,1772880,6.36,112755,4.51,5085,High
28,Male,Bangalore,Carousel,61171,56,1658272,3.52,58371,0.84,490,High
45,Male,Delhi,Image,56881,44,1784776,0.28,4997,0.57,28,High
42,Male,Bangalore,Video,78193,23,1966518,0.57,11209,3.3,369,High
56,Male,Chennai,Video,55531,16,1599611,5.46,87338,1.99,1738,High
50,Female,Delhi,Carousel,52551,32,1346131,3.04,40922,2.7,1104,High
18,Female,Hyderabad,Shorts,31759,15,713255,6.96,49642,3.3,1638,High
44,Male,Chennai,Carousel,62864,52,1661955,5.9,98055,0.36,352,High
30,Female,Bangalore,Carousel,25228,41,934451,0.27,2523,1.54,38,High
58,Male,Bangalore,Carousel,80305,32,2218168,5.53,122664,2.36,2894,High
20,Female,Kolkata,Image,63061,39,2204651,1.62,35715,1.41,503,High
56,Female,Bangalore,Shorts,91846,48,2158767,3.44,74261,0.34,252,High
23,Male,Mumbai,Image,55839,19,1590789,5.04,80175,0.52,416,High
25,Female,Chennai,Carousel,63802,20,1422611,6.99,99440,4.03,4007,High
44,Female,Delhi,Shorts,45842,49,1043943,3.7,38625,4.57,1765,High
26,Male,Bangalore,Video,49350,11,1596435,6.49,103608,0.85,880,High
54,Male,Kolkata,Shorts,34226,51,1100385,6.29,69214,1.32,913,High
50,Female,Kolkata,Carousel,28284,7,686389,3.37,23131,3.3,763,High
59,Female,Bangalore,Shorts,52842,35,1558243,4.06,63264,4.78,3024,High
41,Female,Mumbai,Video,49262,16,1835813,5.63,103356,1.57,1622,High
32,Male,Kolkata,Video,33860,12,795178,0.35,2783,4.29,119,High
49,Female,Delhi,Shorts,36519,29,744411,7.14,53150,2.58,1371,High
49,Female,Chennai,Video,50487,48,1668087,6.18,103087,4.79,4937,High
41,Female,Hyderabad,Image,33603,54,708017,2.07,14655,0.77,112,High
58,Male,Mumbai,Shorts,55349,39,2191781,7.85,172054,4.87,8379,High
29,Male,Kolkata,Video,34068,16,1096752,1.52,16670,2.26,376,High
56,Male,Chennai,Video,53837,59,1583258,7.32,115894,4.77,5528,High
19,Male,Hyderabad,Shorts,32739,25,936339,2.66,24906,2.35,585,High
20,Female,Bangalore,Image,32802,30,1032005,6.13,63261,2.7,1708,High
54,Male,Bangalore,Shorts,14566,59,317732,3.71,11787,4.04,476,High
34,Female,Delhi,Video,47595,6,1837216,5.92,108763,3.64,3958,High
19,Female,Hyderabad,Shorts,71810,18,2334778,1.33,31052,3.14,975,High
19,Female,Bangalore,Video,70959,50,1680301,2.23,37470,2.14,801,High
45,Female,Bangalore,Carousel,54861,8,1714495,0.89,15259,3.98,607,High
40,Male,Kolkata,Shorts,19984,21,452957,6.93,31389,4.75,1490,High
54,Male,Delhi,Shorts,62658,51,1275158,2.44,31113,0.15,46,High
49,Male,Chennai,Video,53384,52,1740902,5.59,97316,2.98,2900,High
50,Male,Bangalore,Video,43902,9,1447449,6.58,95242,4.34,4133,High
18,Male,Mumbai,Video,68110,28,2157327,7.22,155759,3.3,5140,High
36,Female,Mumbai,Video,59231,53,1401993,0.94,13178,4.02,529,High
19,Male,Chennai,Shorts,79423,59,2546991,7.15,182109,4.49,8176,High
43,Male,Hyderabad,Video,28915,11,610989,1.66,10142,3.78,383,High
49,Male,Delhi,Shorts,30088,27,968392,5.92,57328,3.61,2069,High
23,Male,Kolkata,Image,32615,51,1013694,5.86,59402,4.83,2869,High
49,Female,Mumbai,Shorts,45724,21,1513719,0.17,2573,4.33,111,High
21,Female,Mumbai,Video,73822,16,2798578,1.84,51493,4.1,2111,High
28,Female,Chennai,Video,40646,15,1504197,3.99,60017,0.52,312,High
34,Female,Hyderabad,Image,40966,55,1622826,3.42,55500,1.27,704,High
55,Female,Hyderabad,Shorts,56259,15,2223641,7.36,163659,2.83,4631,High
41,Male,Chennai,Image,62647,38,2220621,2.94,65286,3.58,2337,High
22,Female,Mumbai,Shorts,16448,51,643588,7.5,48269,1.59,767,High
51,Female,Delhi,Video,65595,41,2449716,3.73,91374,0.56,511,High
23,Female,Mumbai,Shorts,40171,54,1388000,7.72,107153,1.62,1735,High
39,Male,Hyderabad,Video,48463,33,1042340,5.93,61810,3.88,2398,High
28,Male,Kolkata,Video,71273,57,1495398,6.65,99443,4.4,4375,High
33,Female,Mumbai,Carousel,46753,57,1718278,0.93,15979,4.57,730,High
50,Male,Delhi,Carousel,27021,52,805067,4.73,38079,1.96,746,High
26,Male,Bangalore,Shorts,27891,40,1012239,1.23,12450,1.93,240,High
23,Female,Mumbai,Video,49563,31,1301451,2.45,31885,2.09,666,High
33,Male,Chennai,Image,44984,59,1257452,5.03,63249,1.94,1227,High
46,Male,Bangalore,Video,50892,46,1730521,5.84,101062,3.36,3395,High
20,Male,Chennai,Image,43980,26,1684753,0.41,6907,1.86,128,High
37,Female,Chennai,Shorts,68621,6,1492874,4.29,64044,0.2,128,High
53,Female,Chennai,Shorts,50371,51,1875309,4.57,85701,2.25,1928,High
36,Female,Mumbai,Image,23555,40,844700,0.72,6081,1.2,72,High
43,Male,Hyderabad,Image,62247,52,1637793,4.06,66494,0.24,159,High
20,Female,Bangalore,Video,78594,34,2130239,5.74,122275,2.41,2946,High
36,Male,Delhi,Shorts,52323,11,1095100,0.52,5694,1.11,63,High
37,Male,Hyderabad,Video,53488,16,1086603,6.11,66391,2.32,1540,High
49,Male,Mumbai,Image,38301,7,1131437,4.65,52611,1.46,768,High
24,Female,Chennai,Carousel,46363,21,1015855,6.68,67859,3.06,2076,High
58,Female,Delhi,Carousel,57543,45,1374130,1.82,25009,4.96,1240,High
50,Female,Bangalore,Carousel,66976,36,2473813,6.68,165250,2.78,4593,High
57,Female,Hyderabad,Image,56690,12,1781232,0.85,15140,3.27,495,High
56,Male,Kolkata,Video,77270,27,2524635,3.29,83060,4.6,3820,High
35,Female,Hyderabad,Shorts,51477,42,1222558,1.68,20538,1.93,396,High
57,Male,Delhi,Image,33174,34,1213301,7.02,85173,0.92,783,High
18,Female,Mumbai,Carousel,33604,19,1255438,5.67,71183,1.49,1060,High
28,Female,Bangalore,Video,68516,14,2087451,0.3,6262,2.07,129,High
45,Female,Delhi,Shorts,65106,59,2490399,0.18,4482,3.26,146,High
42,Male,Chennai,Shorts,25330,42,934624,2.4,22430,0.12,26,High
40,Male,Bangalore,Image,46857,19,1622506,1.23,19956,4.28,854,High
48,Male,Hyderabad,Image,47402,34,1643976,5.08,83513,0.47,392,High
47,Male,Delhi,Shorts,38727,50,856171,5.34,45719,4.51,2061,High
59,Male,Hyderabad,Shorts,28844,30,733130,7.54,55278,4.75,2625,High
52,Female,Hyderabad,Carousel,38395,55,819251,7.62,62426,4.95,3090,High
24,Male,Hyderabad,Shorts,35699,49,720193,5.31,38242,4.07,1556,High
33,Male,Mumbai,Image,29202,18,676521,0.14,947,0.8,7,High
43,Male,Hyderabad,Video,62435,7,2348201,2.94,69037,3.56,2457,High
19,Male,Chennai,Carousel,54244,40,1345119,4.15,55822,1.1,614,High
18,Female,Chennai,Carousel,43038,30,1695836,4.04,68511,4.5,3082,High
29,Male,Bangalore,Shorts,18941,18,605100,4.87,29468,1.65,486,High
22,Female,Kolkata,Video,45513,35,1126248,7.69,86608,1.7,1472,High
54,Female,Hyderabad,Carousel,57815,18,1731157,7.09,122739,4.6,5645,High
49,Female,Hyderabad,Image,38959,44,949902,0.96,9119,0.16,14,High
26,Male,Delhi,Shorts,32750,14,1299523,2.2,28589,1.05,300,High
58,Female,Mumbai,Image,48154,13,1779088,6.68,118843,2.17,2578,High
52,Male,Kolkata,Shorts,55026,50,1129396,6.61,74653,3.53,2635,High
36,Male,Bangalore,Carousel,20001,44,779150,2.28,17764,3.27,580,High
33,Male,Kolkata,Shorts,70310,47,2420166,5.87,142063,3.38,4801,High
20,Male,Hyderabad,Video,31263,46,676771,5.41,36613,4.41,1614,High
37,Male,Delhi,Image,43658,22,1458742,3.84,56015,0.69,386,High
41,Female,Mumbai,Video,67719,40,2230566,1.69,37696,2.66,1002,High
50,Female,Bangalore,Image,51880,40,1264624,7.12,90041,3.65,3286,High
41,Male,Kolkata,Image,66441,16,2336672,5.46,127582,3.22,4108,High
28,Female,Bangalore,Shorts,73305,54,1593749,1.44,22949,2.3,527,High
25,Male,Hyderabad,Carousel,28104,44,837212,5.67,47469,0.18,85,High
53,Female,Bangalore,Carousel,63530,7,1283221,5.96,76479,0.4,305,High
55,Female,Delhi,Video,69882,22,2751598,7.11,195638,0.68,1330,High
57,Female,Bangalore,Shorts,44362,11,1554089,1.86,28906,1.78,514,High
37,Female,Chennai,Carousel,45556,35,1055871,7.91,83519,0.68,567,High
52,Female,Delhi,Image,21304,5,571669,1.31,7488,2.19,163,High
42,Male,Kolkata,Image,61716,35,1432509,4.85,69476,0.98,680,High
52,Male,Mumbai,Shorts,11976,58,423174,5.29,22385,3.92,877,High
42,Female,Mumbai,Video,64532,17,1366656,3.41,46602,4.37,2036,High
46,Male,Hyderabad,Shorts,28734,33,1057680,3.85,40720,2.01,818,High
35,Female,Hyderabad,Video,70860,7,2752493,7.14,196528,2.61,5129,High
35,Male,Chennai,Shorts,55944,33,1875948,5.2,97549,4.77,4653,High
19,Female,Kolkata,Image,65134,39,1580118,4.03,63678,2.72,1732,High
52,Female,Mumbai,Shorts,37808,19,1028455,1.11,11415,4.98,568,High
33,Female,Mumbai,Carousel,29998,25,886290,0.16,1418,0.8,11,High
58,Male,Mumbai,Carousel,23545,23,755639,1.09,8236,4.32,355,High
53,Male,Mumbai,Shorts,66368,32,2214918,7.65,169441,2.54,4303,High
50,Female,Bangalore,Video,59944,8,1863320,6.14,114407,0.21,240,High
21,Female,Kolkata,Video,60476,49,1634446,7.74,126506,4.86,6148,High
50,Male,Delhi,Image,54371,17,2056245,0.38,7813,4.83,377,High
31,Male,Delhi,Image,58158,19,1257833,5.47,68803,1.98,1362,High
38,Male,Chennai,Video,45625,55,1337959,0.45,6020,4.78,287,High
37,Male,Bangalore,Shorts,55554,52,1972812,6.28,123892,0.79,978,High
25,Male,Mumbai,Image,37147,43,788174,3.11,24512,3.43,840,High
24,Female,Mumbai,Video,44859,36,1529992,0.86,13157,1.04,136,High
20,Male,Hyderabad,Video,95649,7,3481106,4.59,159782,1.31,2093,High
34,Female,Hyderabad,Shorts,50583,34,1680223,2.31,38813,3.92,1521,High
50,Female,Chennai,Carousel,20425,24,413798,5.31,21972,1.95,428,High
29,Male,Mumbai,Video,43871,6,1035479,5.3,54880,0.13,71,High
39,Male,Chennai,Image,34137,54,916318,5.67,51955,2.13,1106,High
39,Female,Bangalore,Shorts,52388,29,1292617,7.94,102633,1.22,1252,High
47,Male,Delhi,Shorts,36659,15,1439001,3.15,45328,3.45,1563,High
55,Female,Mumbai,Shorts,46822,5,1546636,3.78,58462,1.05,613,High
55,Male,Kolkata,Carousel,38902,52,1009105,6.46,65188,4.23,2757,High
25,Male,Bangalore,Carousel,52957,53,2043849,4.67,95447,1.41,1345,High
44,Male,Mumbai,Image,40589,52,1412980,0.39,5510,2.03,111,High
44,Female,Kolkata,Image,55353,14,1422142,6.76,96136,1.56,1499,High
51,Male,Hyderabad,Shorts,79228,21,2184940,0.51,11143,3.26,363,High
38,Female,Chennai,Image,32683,34,784038,1.45,11368,0.6,68,High
47,Male,Hyderabad,Video,60857,39,2399105,0.91,21831,2.44,532,High
50,Female,Delhi,Carousel,13207,54,400795,0.72,2885,1.74,50,High
45,Male,Hyderabad,Shorts,46508,23,1763652,0.3,5290,4.43,234,High
50,Female,Mumbai,Shorts,53433,50,1438965,0.53,7626,0.46,35,High
22,Female,Kolkata,Video,38779,57,1443261,3.6,51957,4.17,2166,High
36,Female,Hyderabad,Video,23189,38,488773,2.1,10264,0.92,94,High
21,Female,Mumbai,Video,49429,36,1959470,1.1,21554,0.53,114,High
52,Female,Delhi,Video,72981,16,2790871,5.3,147916,1.09,1612,High
34,Female,Kolkata,Shorts,47803,47,1303310,1.89,24632,0.6,147,High
45,Male,Hyderabad,Carousel,58378,21,2072116,0.25,5180,2.65,137,High
47,Female,Chennai,Carousel,66903,10,2344633,3.41,79951,4.94,3949,High
46,Female,Chennai,Video,87072,55,3310925,2.55,84428,0.27,227,High
23,Female,Kolkata,Image,34215,17,894572,2.62,23437,2.36,553,High
52,Male,Chennai,Shorts,35763,43,1048237,3.62,37946,1.99,755,High
58,Male,Hyderabad,Carousel,45616,26,1701494,5.38,91540,1.76,1611,High
54,Male,Hyderabad,Video,59231,15,2106960,4.97,104715,1.73,1811,High
41,Female,Kolkata,Image,15189,11,423320,7.5,31749,4.49,1425,High
46,Male,Hyderabad,Image,59806,49,2207723,4.19,92503,0.19,175,High
48,Male,Mumbai,Video,52223,49,1093521,3.83,41881,3.9,1633,High
52,Female,Delhi,Shorts,41990,25,1496592,1.79,26788,1.34,358,High
50,Female,Chennai,Carousel,56382,5,1360813,6.07,82601,1.98,1635,High
38,Male,Mumbai,Image,63344,34,1629379,1.21,19715,2.16,425,High
49,Female,Kolkata,Carousel,65420,23,1953732,3.98,77758,1.59,1236,High
40,Female,Chennai,Carousel,50221,55,1456155,3.43,49946,0.56,279,High
50,Female,Mumbai,Image,54890,59,1669296,5.3,88472,0.66,583,High
20,Female,Hyderabad,Video,54324,51,1678393,7.35,123361,1.56,1924,High
35,Male,Kolkata,Image,68467,50,1823339,7.58,138209,4.13,5708,High
42,Female,Kolkata,Image,55718,33,1309632,1.43,18727,0.76,142,High
59,Male,Chennai,Shorts,59678,39,2110800,2.17,45804,3.74,1713,High
48,Male,Hyderabad,Carousel,63389,57,1774887,6.51,115545,1.52,1756,High
20,Male,Chennai,Video,79378,24,2390626,4.19,100167,4.43,4437,High
57,Male,Bangalore,Carousel,41212,40,1355650,3.68,49887,2.2,1097,High
41,Female,Mumbai,Image,74385,43,2840992,5.71,162220,0.94,1524,High
49,Female,Bangalore,Video,87066,5,2973412,4.86,144507,4.93,7124,High
39,Female,Mumbai,Video,42169,27,881726,7.77,68510,0.97,664,High
40,Male,Delhi,Video,46748,35,1718985,4.71,80964,2.88,2331,High
19,Male,Kolkata,Video,43573,55,1733652,3.78,65532,2.89,1893,High
44,Male,Chennai,Shorts,59853,39,1762662,4.39,77380,1.93,1493,High
59,Female,Delhi,Video,22074,56,869568,6.49,56434,4.76,2686,High
19,Male,Delhi,Image,42507,51,1315462,4.94,64983,4.23,2748,High
43,Female,Kolkata,Shorts,45895,49,1339792,5.21,69803,4.17,2910,High
34,Female,Kolkata,Image,44583,26,1187175,7.77,92243,4.87,4492,High
57,Female,Mumbai,Image,44432,50,1472988,4.99,73502,2.34,1719,High
50,Female,Bangalore,Carousel,42661,11,1049309,3.1,32528,0.58,188,High
26,Male,Hyderabad,Video,61660,37,1362622,5.56,75761,3.85,2916,High
56,Female,Mumbai,Video,58073,49,1193108,5.31,63354,1.97,1248,High
46,Male,Hyderabad,Image,75551,40,1952812,0.21,4100,1.03,42,High
59,Female,Delhi,Video,61699,48,1722353,3.79,65277,2.47,1612,High
43,Male,Hyderabad,Shorts,33536,11,1041013,5.97,62148,4.64,2883,High
52,Male,Bangalore,Carousel,47449,31,1226805,4.04,49562,0.94,465,High
42,Female,Mumbai,Video,45856,6,1819641,6.26,113909,4.26,4852,High
41,Female,Kolkata,Video,53828,21,1390655,3.66,50897,2.15,1094,High
30,Female,Bangalore,Shorts,66398,5,1913579,7.87,150598,0.77,1159,High
24,Male,Bangalore,Carousel,52787,50,1164784,2.41,28071,4.26,1195,High
53,Female,Mumbai,Shorts,52827,34,1331911,0.83,11054,4.85,536,High
37,Female,Kolkata,Image,50150,26,1051490,3.5,36802,1.53,563,High
18,Male,Bangalore,Image,62158,32,1938742,4.38,84916,1.59,1350,High
